,booktype,Title,Author
3520,言情,在首輔後院種田,稼禾
4194,言情,謝家的短命鬼長命百歲了,怡然
4195,言情,生薑紅糖,深海與月光
4196,言情,花重錦官城,凝隴
4197,言情,任清風徐來,Ahuisa
4201,言情,她很不討喜,宋玖槿
4202,言情,重生霸寵：攝政王爺太兇猛,風與自然
3519,言情,鹹魚女配要擺爛[七零],喬微安
4206,言情,烈火狂妃：獸性王爺，硬要寵,為你穿高跟鞋
4164,言情,唯有正義與你不可辜負,指間風月
3528,言情,撩瘋！瘋批首輔淪為裙下臣,東牆窺宋
4161,言情,和影帝閃婚後,顧無痕
4159,言情,狡猾的風水相師(十八禁),焚摩
3543,言情,天師，我有一個異世界,蒙面怪客
3541,言情,在末世養大佬的那些年,哈尼路亞
3540,言情,你再說我一句試試,爻棋
3539,言情,病美人師尊的千層套路,食鹿客
4124,言情,初戀一生,北途川
4125,言情,我和你差之微毫的世界,北傾
3538,言情,我在玄門做廚娘,水中宿
4127,言情,高不可攀,尋香蹤
4128,言情,燈,島頔／小八老爺
4129,言情,閃婚嬌妻：總裁大人請離婚,南棠
3537,言情,我不知道你也暗戀我,今愉
3536,言情,小少爺靠發瘋文學爆紅娛樂圈,布丁狗超人
3535,言情,帝後模擬器,枝啞
3534,言情,快穿之小日子,嵐初
4136,言情,嗨，你的鍋鏟,映漾
3533,言情,驚！豪門小公主她會算命,盼星星
4142,言情,邪醫狂妃：帝尊，寵翻天！,蛇發優雅
4143,言情,大佬他總想擼我,小粉水
4145,言情,高嫁,林叙然
4148,言情,嬌花養成記,抹茶曲奇
4149,言情,風月,蘇他
3531,言情,貌美小夫郎他被攻騙了,無一深還
4153,言情,今年冬天下雪嗎,島頔／小八老爺
3529,言情,崩了劇情後，系統跟我解綁了,房價降了嗎
4157,言情,細腰,左耳聽禪
4207,言情,致遙遠的你,地黃飲子
3518,言情,馭君,墜歡可拾
4209,言情,她和年級第一我都要,圖樣先森
3511,言情,娶了個克夫的小寡婦,有暖風
4257,言情,你和我的傾城時光,丁墨
3510,言情,川流複始,Your唯
3509,言情,辭職後老板成了前男友,起躍
4261,言情,紅塵滾滾滾（戀戀紅塵）,北傾
4262,言情,對你何止心動,君子阿郭
3506,言情,白色顏料,西方木頭
4265,言情,念你插翅難飛,玄宓
4268,言情,重生之王府艶婢,南慕野
4269,言情,將軍令／蠶繭,雁仲
4270,言情,她動人的香味,令婭
4271,言情,我和先生鬧離婚,樓海
4272,言情,為你藍的那片海,瘋子三三
3505,言情,不辭青山,魔法少女土狗醬
4276,言情,糖罐子裡的愛情,烤糖
3504,言情,失憶後我把宿敵當真愛,堇色蟬
3503,言情,終極強醫,曾囈
